chan_idx,lat,lon,depth,chan_m,utm_x,utm_y,x,y
4364.0,45.195517,-124.05419,-55.878362,8910.872057914734,417196.7862998127,5005210.739381486,18029.294575702632,20099.22944050934
4365.0,45.195519,-124.05421,-55.88244,8912.913962602615,417195.2182663021,5005210.982073763,18030.862609213276,20099.47213278711
4366.0,45.19552,-124.05424,-55.889158,8914.955867290497,417192.8633153144,5005211.12393082,18033.217560200952,20099.613989843987
4367.0,45.195522,-124.05427,-55.895083,8916.997771978378,417190.5098149135,5005211.376879796,18035.571060601855,20099.86693882011
4368.0,45.195523,-124.05429,-55.898994,8919.03967666626,417188.9403312295,5005211.508482586,18037.14054428588,20099.998541609384
4369.0,45.195525,-124.05432,-55.90441,8921.081581354141,417186.5868310904,5005211.761433022,18039.494044424966,20100.25149204582
4370.0,45.195526,-124.05434,-55.907997,8923.123486042023,417185.017347556,5005211.893036785,18041.06352795934,20100.383095808327
4371.0,45.195528,-124.05437,-55.912981,8925.165390729904,417182.66384768067,5005212.145988682,18043.417027834686,20100.636047706008
4372.0,45.195529,-124.0544,-55.91808,8927.207295417786,417180.3088972836,5005212.287850407,18045.77197823173,20100.777909430675
4373.0,45.195531,-124.05442,-55.920916,8929.249200105667,417178.7408646844,5005212.530546773,18047.340010830958,20101.020605796948
4374.0,45.195532,-124.05445,-55.925653,8931.291104793549,417176.3859144803,5005212.672409957,18049.694961035042,20101.162468980998
4375.0,45.195534,-124.05447,-55.928129,8933.33300948143,417174.81788209954,5005212.915107297,18051.262993415818,20101.405166320503
4376.0,45.195535,-124.0545,-55.931912,8935.374914169312,417172.4629320904,5005213.056971941,18053.617943424964,20101.547030964866
4377.0,45.195537,-124.05452,-55.933744,8937.416818857193,417170.8948999301,5005213.299670253,18055.18597558525,20101.789729276672
4378.0,45.195538,-124.05455,-55.936583,8939.458723545074,417168.5399501119,5005213.4415363595,18057.540925403475,20101.931595383212
4379.0,45.19554,-124.05458,-55.938692,8941.500628232956,417166.18645131146,5005213.694494384,18059.8944242039,20102.184553408064
4380.0,45.195541,-124.0546,-55.93994,8943.542532920837,417164.6169685508,5005213.826103207,18061.46390696458,20102.316162230447
4381.0,45.195542,-124.05463,-55.941591,8945.584437608719,417162.2620190083,5005213.967971648,18063.818856507074,20102.458030671813
4382.0,45.195544,-124.05465,-55.942253,8947.6263422966,417160.6939873991,5005214.2106724875,18065.38688811625,20102.700731511228
4383.0,45.195545,-124.05468,-55.943378,8949.668246984482,417158.3390380515,5005214.352542388,18067.741837463866,20102.842601411976
4384.0,45.195547,-124.05471,-55.944104,8951.710151672363,417155.9855398987,5005214.605504209,18070.095335616672,20103.0955632329
4385.0,45.195548,-124.05473,-55.944537,8953.752056360245,417154.41605750617,5005214.737115562,18071.664818009187,20103.227174585685
4386.0,45.19555,-124.05476,-55.945013,8955.793961048126,417152.0625596152,5005214.990078842,18074.018315900175,20103.48013786599
4387.0,45.195551,-124.05478,-55.945318,8957.835865736008,417150.49307737825,5005215.121691168,18075.5877981371,20103.61175019201
4388.0,45.195553,-124.05481,-55.94569,8959.87777042389,417148.1395797471,5005215.374655908,18077.94129576825,20103.864714931697
4389.0,45.195554,-124.05484,-55.946138,8961.91967511177,417145.7846309921,5005215.516530478,18080.296244523255,20104.006589502096
4390.0,45.195556,-124.05486,-55.946375,8963.961579799652,417144.21660029236,5005215.759235406,18081.864275222993,20104.249294430017
4391.0,45.195557,-124.05489,-55.946919,8966.003484487534,417141.8616517303,5005215.901111436,18084.21922378504,20104.3911704598
4392.0,45.195559,-124.05491,-55.947299,8968.045389175415,417140.2936212491,5005216.143817338,18085.787254266266,20104.633876361884
4393.0,45.19556,-124.05494,-55.948079,8970.087293863297,417137.93867287994,5005216.285694827,18088.142202635412,20104.77575385105
4394.0,45.195562,-124.05497,-55.949047,8972.129198551178,417135.5851760638,5005216.5386642385,18090.495699451538,20105.02872326225
4395.0,45.195563,-124.05499,-55.949838,8974.17110323906,417134.015694445,5005216.67028065,18092.065181070357,20105.16033967398
4396.0,45.195565,-124.05502,-55.951132,8976.213007926941,417131.66219789075,5005216.92325152,18094.418677624606,20105.413310543634
4397.0,45.195566,-124.05504,-55.951976,8978.254912614822,417130.09271642345,5005217.054868906,18095.98815909191,20105.544927929528
4398.0,45.195568,-124.05507,-55.953217,8980.296817302704,417127.739220131,5005217.307841237,18098.34165538434,20105.797900260426
4399.0,45.195569,-124.05509,-55.954014,8982.338721990585,417126.16973881336,5005217.439459594,18099.911136701994,20105.92951861769
4400.0,45.195571,-124.05512,-55.95518,8984.380626678467,417123.81624278275,5005217.692433384,18102.264632732607,20106.18249240797
4401.0,45.195572,-124.05515,-55.956258,8986.422531366348,417121.4612951992,5005217.834317003,18104.619580316183,20106.3243760271
4402.0,45.195574,-124.05517,-55.956989,8988.46443605423,417119.8932658498,5005218.077027964,18106.18760966556,20106.56708698813
4403.0,45.195575,-124.0552,-55.957959,8990.506340742111,417117.5383184592,5005218.218913042,18108.54255705618,20106.70897206571
4404.0,45.195577,-124.05522,-55.95862,8992.548245429993,417115.97028933035,5005218.461624978,18110.11058618501,20106.951684001833
4405.0,45.195578,-124.05525,-55.95947,8994.590150117874,417113.6153421307,5005218.603511515,18112.465533384646,20107.093570538796
4406.0,45.19558,-124.05528,-55.960286,8996.632054805756,417111.2618469131,5005218.856489976,18114.819028602273,20107.34654899966
4407.0,45.195581,-124.0553,-55.960773,8998.673959493637,417109.69236621755,5005218.988112422,18116.3885092978,20107.47817144543
4408.0,45.195583,-124.05533,-55.961459,9000.715864181519,417107.3388712618,5005219.241092342,18118.742004253552,20107.731151365675
4409.0,45.195584,-124.05535,-55.961857,9002.7577688694,417105.76939071785,5005219.372715759,18120.31148479751,20107.862774782814
4410.0,45.195586,-124.05538,-55.962408,9004.799673557281,417103.41589602386,5005219.62569714,18122.6649794915,20108.115756163374
4411.0,45.195587,-124.05541,-55.962834,9006.841578245163,417101.0609494188,5005219.767588348,18125.019926096546,20108.25764737185
4412.0,45.195589,-124.05543,-55.963129,9008.883482933044,417099.49292119744,5005220.010304369,18126.587954317918,20108.500363392755
4413.0,45.19559,-124.05546,-55.963419,9010.925387620926,417097.1379747853,5005220.15219704,18128.942900730064,20108.64225606341
4414.0,45.195592,-124.05548,-55.963624,9012.967292308807,417095.56994678633,5005220.394914032,18130.510928729025,20108.884973055683
4415.0,45.195593,-124.05551,-55.963783,9015.009196996689,417093.21500056714,5005220.53680816,18132.865874948213,20109.026867183857
4416.0,45.195595,-124.05554,-55.963906,9017.05110168457,417090.86150668625,5005220.789794211,18135.2193688291,20109.279853235
4417.0,45.195596,-124.05556,-55.963909,9019.093006372452,417089.29202676244,5005220.921421716,18136.788848752913,20109.411480739713
4418.0,45.195598,-124.05559,-55.963768,9021.134911060333,417086.9385331434,5005221.174409225,18139.142342371983,20109.664468248375
4419.0,45.195599,-124.05561,-55.963556,9023.176815748215,417085.36905336916,5005221.3060377035,18140.7118221462,20109.796096727252
4420.0,45.195601,-124.05564,-55.963117,9025.218720436096,417083.0155600119,5005221.5590266725,18143.065315503452,20110.049085696228
4421.0,45.195602,-124.05566,-55.962726,9027.260625123978,417081.44608039124,5005221.690656124,18144.63479512412,20110.180715147406
4422.0,45.195604,-124.05569,-55.962043,9029.30252981186,417079.0925872958,5005221.943646552,18146.988288219552,20110.433705575764
4423.0,45.195605,-124.05572,-55.961208,9031.34443449974,417076.7376418622,5005222.085546811,18149.34323365317,20110.575605834834
4424.0,45.195607,-124.05574,-55.960638,9033.386339187622,417075.16961499315,5005222.328268865,18150.911260522204,20110.818327888846
4425.0,45.195608,-124.05577,-55.959653,9035.428243875504,417072.81466975046,5005222.470170583,18153.2662057649,20110.960229606368
4426.0,45.19561,-124.05579,-55.958997,9037.470148563385,417071.24664310185,5005222.71289361,18154.8342324135,20111.202952633612
4427.0,45.195611,-124.05582,-55.957922,9039.512053251266,417068.89169805415,5005222.854796787,18157.1891774612,20111.344855810516
4428.0,45.195613,-124.05585,-55.956845,9041.553957939148,417066.5382057697,5005223.107791887,18159.542669745628,20111.597850910388
4429.0,45.195614,-124.05587,-55.956116,9043.59586262703,417064.9687267713,5005223.239425424,18161.112148744054,20111.729484447278
4430.0,45.195615,-124.0559,-55.955027,9045.63776731491,417062.61378199916,5005223.381330935,18163.4670935162,20111.871389959008
4431.0,45.195617,-124.05592,-55.954337,9047.679672002792,417061.0457559018,5005223.624056493,18165.035119613574,20112.114115516655
4432.0,45.195618,-124.05595,-55.95332,9049.721576690674,417058.6908113206,5005223.765963465,18167.39006419474,20112.2560224887
4433.0,45.19562,-124.05598,-55.952387,9051.763481378555,417056.33731968584,5005224.018962361,18169.74355582951,20112.50902138464
4434.0,45.195621,-124.056,-55.951814,9053.805386066437,417054.7678410575,5005224.150598428,18171.313034457853,20112.640657451935
4435.0,45.195623,-124.05603,-55.951054,9055.847290754318,417052.4143496826,5005224.403598782,18173.666525832785,20112.893657805398
4436.0,45.195624,-124.05605,-55.950621,9057.8891954422,417050.8448712078,5005224.535235824,18175.236004307575,20113.025294847786
